Feature	Portuguese	Nheengatu
INV_OPEN_FRONT_UNROUNDED_VOWEL	--	1.0
INV_VOICED_BILABIAL_PLOSIVE	--	1.0
INV_VOICED_BILABIAL_PLOSIVE_WITH_VOICED_LABIODENTAL_FRICATIVE	--	0.0
INV_VOICED_BILABIAL_PLOSIVE_WITH_VOICED_BILABIAL_FRICATIVE	--	0.0
INV_VOICELESS_PALATAL_PLOSIVE	--	1.0
INV_VOICELESS_PALATAL_PLOSIVE_WITH_VOICELESS_PALATAL_FRICATIVE	--	0.0
INV_VOICED_ALVEOLAR_PLOSIVE	--	0.0
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_DENTAL_FRICATIVE	--	0.0
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_ALVEOLAR_LATERAL_FRICATIVE	--	0.0
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_ALVEOPALATAL_FRICATIVE	--	0.0
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_POSTALVEOLAR_FRICATIVE	--	0.0
INV_CLOSE_MID_FRONT_UNROUNDED_VOWEL	--	1.0
INV_VOICELESS_LABIODENTAL_FRICATIVE	--	0.0
INV_VOICELESS_GLOTTAL_FRICATIVE	--	0.0
INV_CLOSE_FRONT_UNROUNDED_VOWEL	--	1.0
INV_PALATAL_APPROXIMANT	--	1.0
INV_VOICELESS_VELAR_PLOSIVE	--	1.0
INV_VOICELESS_VELAR_PLOSIVE_WITH_VOICELESS_BILABIAL_PLOSIVE	--	0.0
INV_VOICELESS_VELAR_PLOSIVE_WITH_VOICELESS_VELAR_FRICATIVE	--	0.0
INV_ALVEOLAR_LATERAL_APPROXIMANT	--	0.0
INV_BILABIAL_NASAL	--	1.0
INV_ALVEOLAR_NASAL	--	1.0
INV_CLOSE_MID_BACK_UNROUNDED_VOWEL	--	0.0
INV_VOICELESS_BILABIAL_PLOSIVE	--	1.0
INV_VOICELESS_BILABIAL_PLOSIVE_WITH_VOICELESS_LABIODENTAL_FRICATIVE	--	0.0
INV_VOICELESS_BILABIAL_PLOSIVE_WITH_VOICELESS_ALVEOLAR_PLOSIVE	--	0.0
