article	unit_type	is_adct	confidence	pt	nhe
1	direct_list	False	1.0	a soberania	Suberania
1	direct_list	False	1.0	a cidadania	Mírasá-itá
1	direct_list	False	1.0	a dignidade da pessoa humana	Míra sikuesá
1	direct_list	False	1.0	os valores sociais do trabalho e da livre iniciativa	Maãkaátu muraákí resé asui yupirugá sa timaãresé
2	direct_sentence	False	1.0	Art.	Art.
2	direct_sentence	False	1.0	2o São Poderes da União, independentes e harmônicos entre si, o Legislativo, o Executivo e o Judiciário.	2º Uniãu kirῖbawasá -ita, yepéyũwa-ita asui suurí waitá uyumuyárisá yepewasú asui umyãwa-ita ley, umuyãsá asui umuyakuntasá.
3	direct_list	False	1.0	construir uma sociedade livre, justa e solidária	umuyã miíra-itá purãgarã wa-ita uikú, supῖtu timaãresé asui uyupisirupa wa-
3	direct_list	False	1.0	garantir o desenvolvimento nacional	Yumutusúsá payẽ yumukiriarisá
3	direct_list	False	1.0	erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais	Ũbawarã pirasuwasá asui puxuwerasá-ita asui umukuáíra ãmurupísá yaikú
3	direct_list	False	1.0	promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.	Umuyã payẽ awá uikúárã purãga, ũbárã umaã puxuwera aãmu-ita
4	direct_list	False	1.0	independência nacional	Yepéyũwa tetãma
4	direct_list	False	1.0	prevalência dos direitos humanos	Direitu miíra-itá supé arã
4	direct_list	False	1.0	autodeterminação dos povos	Miíra-itá yumukirῖbasá
4	direct_list	False	1.0	não intervenção	Ũbá yumuapatuka
4	direct_list	False	1.0	igualdade entre os Estados	Tetãma-itá yeppewasúsá
4	direct_list	False	1.0	defesa da paz	Suãti timaãresésá
4	direct_list	False	1.0	solução pacífica dos conflitos	Mayê arã ũbá yamã maáramũyasá
4	direct_list	False	1.0	repúdio ao terrorismo e ao racismo	Ũbawa puxuwera wa asui miírasá resé
4	direct_list	False	1.0	cooperação entre os povos para o progresso da humanidade	Miíra-itá yumuatiri purãga arã usú kuá mundu.
5	direct_list	False	1.0	homens e mulheres são iguais em direitos e obrigações, nos termos desta Cons- tituição	Apigá-ita asui kunhã-ita yepéwasú aῖtá direitu mayê ũbeu kuá papéra
5	direct_list	False	1.0	ninguém será obrigado a fazer ou deixar de fazer alguma coisa senão em virtude de lei	ũbá awá urikúté umuyã u uxari umuyã tiramẽ suãtisá rupí
5	direct_list	False	1.0	ninguém será submetido a tortura nem a tratamento desumano ou degradante	ũbá awá usú upurará asui umuapisaka u puxuwera
5	direct_list	False	1.0	é livre a manifestação do pensamento, sendo vedado o anonimato	payẽ awá urikútê uxari mãduaisá
5	direct_list	False	1.0	é assegurado o direito de resposta, proporcional ao agravo, além da indenização por dano material, moral ou à imagem	urikú direitu usúaxaára, turusú ramẽ SESEWÁRA maã umunhwa, SESEWÁRA
5	direct_list	False	1.0	é inviolável a liberdade de consciência e de crença, sendo assegurado o livre exercício dos cultos religiosos e garantida, na forma da lei, a proteção aos locais de culto e a suas liturgias	ũbá awá urikútê umuapatuka mãduaisá asui ruyaisá, yaátirisá yumbue arã
5	direct_list	False	1.0	é assegurada, nos termos da lei, a prestação de assistência religiosa nas entidades civis e militares de internação coletiva	papéra wasú upé yupitásúka seésé kuá ruyaisa payẽ marupí asui mamẽ
5	direct_list	False	1.0	ninguém será privado de direitos por motivo de crença religiosa ou de convic- ção filosófica ou política, salvo se as invocar para eximir-se de obrigação legal a todos imposta e recusar-se a cumprir prestação alternativa, fixada em lei	ũbá awá usú muapatuka ruyaisá resé u mãduaisá u pulitiku
5	direct_list	False	1.0	é livre a expressão da atividade intelectual, artística, científica e de comunicação, independentemente de censura ou licença	muraákí yumuyã timaãresé umuyãsáita kuásá asui purugitasá upurãdúwa
5	direct_list	False	1.0	são invioláveis a intimidade, a vida privada, a honra e a imagem das pessoas, asse- gurado o direito a indenização pelo dano material ou moral decorrente de sua violação	ũbá awá muapatuka yumeẽsá, sikuesá, kaátusá asui miírasá resé, urikútê
5	direct_list	False	1.0	a casa é asilo inviolável do indivíduo, ninguém nela podendo penetrar sem con- sentimento do morador, salvo em caso de flagrante delito ou desastre, ou para prestar socorro, ou, durante o dia, por determinação judicial	miíra ruka ũbá awá urikútê upirai ũbá awá urikúté uwiké tiramẽ iyaára
5	direct_list	False	1.0	é inviolável o sigilo da correspondência e das comunicações telegráficas, de dados e das comunicações telefônicas, salvo, no último caso, por ordem judicial, nas hipóteses e na forma que a lei estabelecer para fins de investigação criminal ou instrução processual penal	ũbá awá urikútê upirai kuekaátuitá asui yukũtaisá itá tareséwaára asui
5	direct_list	False	1.0	é livre o exercício de qualquer trabalho, ofício ou profissão, atendidas as qua- lificações profissionais que a lei estabelecer	muraákí yumuyã timaãresé, papéra upé u muraákísá, suãtisá umaã seésé
5	direct_list	False	1.0	é assegurado a todos o acesso à informação e resguardado o sigilo da fonte, quando necessário ao exercício profissional	payẽ awá urikútê ukuá kuekaátu resé asui yumukaáturuwa papéra upé,
5	direct_list	False	1.0	todos podem reunir-se pacificamente, sem armas, em locais abertos ao público, independentemente de autorização, desde que não frustrem outra reunião anteriormente convocada para o mesmo local, sendo apenas exigido prévio aviso à autoridade competente	payẽ awá upuderi umuyã yaátirisá, mukawáima, maãrupῖtu, repuranduwa
5	direct_list	False	1.0	é plena a liberdade de associação para fins lícitos, vedada a de caráter para- militar	turusú timaãresé muũti ita muraákí rupiáára, yumusikidá suraára yawéwa tasúi
5	direct_list	False	1.0	a criação de associações e, na forma da lei, a de cooperativas independem de autorização, sendo vedada a interferência estatal em seu funcionamento	yumukiriaiarã kuá muraákí muũtisá rupiáára asui, mairamẽ ley uxari,
5	direct_list	False	1.0	as associações só poderão ser compulsoriamente dissolvidas ou ter suas ativida- des suspensas por decisão judicial, exigindo-se, no primeiro caso, o trânsito em julgado;  14                                                      Constituição da República Federativa do Brasil	Kuá muũtisá upuderi kuri uyumusikῖdá ta muraákí, mairamẽ juz-ita ta
5	direct_list	False	1.0	ninguém poderá ser compelido a associar-se ou a permanecer associado	Ũbá kuri awá upuderi umũdú rewike u repita aápe
5	direct_list	False	1.0	as entidades associativas, quando expressamente autorizadas, têm legitimidade para representar seus filiados judicial ou extrajudicialmente	kuá muũti wasúita mairamẽ taxari takũtai tarikuté tayumukamẽ mayê
5	direct_list	False	1.0	é garantido o direito de propriedade	tarikú direitu ta iwí resé
5	direct_list	False	1.0	a propriedade atenderá a sua função social	kuá ukaita tamuyakũta muraákí resé
5	direct_list	False	1.0	a lei estabelecerá o procedimento para desapropriação por necessidade ou utilidade pública, ou por interesse social, mediante justa e prévia indenização em di- nheiro, ressalvados os casos previstos nesta Constituição	suãtisá ũbeu mairamẽ kaátu aé tasúpé aárama u maam kaátu taresé,
5	direct_list	False	1.0	no caso de iminente perigo público, a autoridade competente poderá usar de propriedade particular, assegurada ao proprietário indenização ulterior, se houver dano	mairamẽ aikué turusú yawáitesá miíra-itá supé miíra ukuáwá SESEWÁRA
5	direct_list	False	1.0	a pequena propriedade rural, assim definida em lei, desde que trabalhada pela família, não será objeto de penhora para pagamento de débitos decorrentes de sua atividade produtiva, dispondo a lei sobre os meios de financiar o seu desenvolvimento	iwí kuáirawá mayê ũbeu suatisá upé, yupurakiwa mendasaita rupí ũbá
5	direct_list	False	1.0	aos autores pertence o direito exclusivo de utilização, publicação ou repro- dução de suas obras, transmissível aos herdeiros pelo tempo que a lei fixar	Iyaára-itá tarikú direitu tamuyã aé, tãbeu SESEWÁRA u taãmuturusú
